topic,angle,wikipedia_title
The Library of Alexandria,How the ancient world's greatest knowledge hub was lost,Library of Alexandria
The Trojan War,Myth or memory? The war behind Homer's Iliad,Trojan War
Hammurabi's Code,The oldest written laws and their brutal logic,Code of Hammurabi
The Oracle of Delphi,How a priestess steered the ancient Greek world,Pythia
Ragnarok,The Norse prophecy of the end of the gods,Ragnarök
The Antikythera Mechanism,The 2000-year-old analog computer from a shipwreck,Antikythera mechanism
Hatshepsut,The woman who ruled Egypt as pharaoh,Hatshepsut
The Battle of Thermopylae,300 Spartans against an empire,Battle of Thermopylae
Gilgamesh,The world's oldest epic and its flood story,Epic of Gilgamesh
The Minotaur and the Labyrinth,The myth behind the maze of Crete,Minotaur
Qin Shi Huang,The first emperor and his terracotta army,Qin Shi Huang
The Fall of Constantinople,The day cannons ended the medieval world,Fall of Constantinople
Anubis,The jackal god who weighed the souls of the dead,Anubis
The Rosetta Stone,The key that unlocked Egyptian hieroglyphs,Rosetta Stone
Pompeii,A city frozen in its final moments,Pompeii
